,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,scenario
201,NL0 0,NL0 0 onwind,wind_on,3436.0,0.0,0.015,1.0,gen_wind_NL_4,0.0,,,,,0.0,,,
202,NO1 0,NO1 0 PHS,PHS,1031.3,0.0,0.0,0.0,const,2477169.835296628,1.0,const,const,0.67,1031.3,0.8660254037844386,1.5,
203,NO1 0,NO1 0 CCGT,fossil_gas,634.6,0.0,46.80312068965517,1.0,const,0.0,,,,,0.0,,,
204,NO1 0,NO1 0 hydro,hydro,26472.27,0.0,0.0,0.9,inflow_NO_1,34907130.6163014,1.0,const,const,0.67,0.0,0.0,0.0,
205,NO1 0,NO1 0 ror,ror,5937.13,0.0,0.0,0.9,gen_ror_NO_1,0.0,,,,,0.0,,,
206,NO1 0,NO1 0 solar-hsat,solar,119.826,0.0,0.01,1.0,gen_sol_NO_2,0.0,,,,,0.0,,,
207,NO1 0,NO1 0 onwind,wind_on,2261.8,0.0,0.015,1.0,gen_wind_NO_4,0.0,,,,,0.0,,,
208,PL0 0,PL0 0 PHS,PHS,1780.02,0.0,0.0,0.0,const,11626.739261925452,1.0,const,const,0.67,1780.02,0.8660254037844386,1.5,
209,PL0 0,PL0 0 CCGT,fossil_gas,2106.3299999999995,0.0,46.80312068965517,1.0,const,0.0,,,,,0.0,,,
210,PL0 0,PL0 0 coal,fossil_other,30961.12,0.0,67.66461572871573,1.0,const,0.0,,,,,0.0,,,
211,PL0 0,PL0 0 hydro,hydro,156.51,0.0,0.0,0.9,inflow_PL_1,1787384.6153846153,1.0,const,const,0.67,0.0,0.0,0.0,
212,PL0 0,PL0 0 ror,ror,435.43,0.0,0.0,0.9,gen_ror_PL_1,0.0,,,,,0.0,,,
213,PL0 0,PL0 0 solar-hsat,solar,430.1300000000001,0.0,0.01,1.0,gen_sol_PL_2,0.0,,,,,0.0,,,
214,PL0 0,PL0 0 onwind,wind_on,5807.67,0.0,0.015,1.0,gen_wind_PL_4,0.0,,,,,0.0,,,
215,PT0 0,PT0 0 PHS,PHS,2820.0,0.0,0.0,0.0,const,1222221.626159997,1.0,const,const,0.67,2820.0,0.8660254037844386,1.5,
216,PT0 0,PT0 0 biomass,RES_other,604.8000000000001,0.0,15.828205128205129,1.0,const,0.0,,,,,0.0,,,
217,PT0 0,PT0 0 CCGT,fossil_gas,4606.0,0.0,46.90221996637235,1.0,const,0.0,,,,,0.0,,,
